Source;Target;Weight;;;
Marge Simpson;Homer Simpson;441;;;
Bart Simpson;Homer Simpson;438;;;
Lisa Simpson;Homer Simpson;402;;;
Maggie Simpson;Homer Simpson;112;;;
Dolph Starbeam;Homer Simpson;29;;;
Jimbo Jones;Homer Simpson;37;;;
Kearney Zzyzwicz;Homer Simpson;28;;;
Reverennd Lovejoy;Homer Simpson;28;;;
Apu Nahasapeemapetilon;Homer Simpson;46;;;
Sideshow Bob;Homer Simpson;17;;;
Luann Van Houten;Homer Simpson;10;;;
Jasper Beardly;Homer Simpson;11;;;
Otto Mann;Homer Simpson;22;;;
Chief Clancy Wiggum;Homer Simpson;91;;;
Lionel Hutz;Homer Simpson;12;;;
Patty Bouvier;Homer Simpson;56;;;
Selma Bouvier;Homer Simpson;77;;;
Montgomery Burns;Homer Simpson;138;;;
Ned Flanders;Homer Simpson;92;;;
Barney Gumble;Homer Simpson;57;;;
Santa`s Helper;Homer Simpson;39;;;
Principal Seymour Skinner;Homer Simpson;93;;;
Waylon Smithers;Homer Simpson;60;;;
Snowball;Homer Simpson;14;;;
Moe Szyslak;Homer Simpson;105;;;
Milhouse Van Houten;Homer Simpson;115;;;
Kent Brockman;Homer Simpson;30;;;
Carl Carlson;Homer Simpson;80;;;
Superintendent Gary Chalmers;Homer Simpson;20;;;
Comic Book Guy;Homer Simpson;30;;;
The Rich Texan;Homer Simpson;12;;;
Fat Tony;Homer Simpson;21;;;
Mayor;Homer Simpson;49;;;
Professor John Frink;Homer Simpson;41;;;
Itchy and Scratchy;Homer Simpson;22;;;
Grampa Abraham Simpson;Homer Simpson;23;;;
Nelson Muntz;Homer Simpson;69;;;
Dr. Julius Hibbert;Homer Simpson;51;;;
Kang and Kodos;Homer Simpson;13;;;
Edna Krabappel;Homer Simpson;32;;;
Martin Prince;Homer Simpson;11;;;
Krusty the Clown;Homer Simpson;88;;;
Lenny Leonard;Homer Simpson;85;;;
Sideshow Mel;Homer Simpson;14;;;
Hans Moleman;Homer Simpson;13;;;
Groundskeeper Willie;Homer Simpson;52;;;
Lindsey Naegle;Homer Simpson;11;;;
Manjula Nahasapeemapetilon;Homer Simpson;12;;;
Agnes Skinner;Homer Simpson;10;;;
Snake Jailbird;Homer Simpson;29;;;
Ralph Wiggum;Homer Simpson;35;;;
Rainier Wolfcastle;Homer Simpson;11;;;
Bart Simpson;Marge Simpson;393;;;
Lisa Simpson;Marge Simpson;356;;;
Maggie Simpson;Marge Simpson;108;;;
Dolph Starbeam;Marge Simpson;29;;;
Jimbo Jones;Marge Simpson;36;;;
Kearney Zzyzwicz;Marge Simpson;28;;;
